Description:,"Fahrenheit-based cooling degree days for a base temperature of 65F"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"VACAVILLE NUT TREE AIRPORT, CA, US (121.96W,38.38N)"
Station ID:,"KVCB"

Date,CDD,% Estimated
2015-06-01,4.3,0
2015-06-02,7.3,0
2015-06-03,5,0
2015-06-04,7.5,0
2015-06-05,11.1,0
2015-06-06,10.2,0
2015-06-07,14.4,0
2015-06-08,19.3,0
2015-06-09,14.1,0
2015-06-10,7.2,0
2015-06-11,14.8,0
2015-06-12,18.4,0
2015-06-13,11.3,0
2015-06-14,7.9,0
2015-06-15,7.3,0
2015-06-16,12.5,2
2015-06-17,13.5,2
2015-06-18,11.3,0
2015-06-19,12.3,0
2015-06-20,13.2,1
2015-06-21,7.7,0
2015-06-22,9.4,0
2015-06-23,13.1,1
2015-06-24,15.4,0
2015-06-25,19.4,0
2015-06-26,20.4,0
2015-06-27,12.5,0
2015-06-28,14.2,0
2015-06-29,15.5,0
2015-06-30,21.5,0
2015-07-01,21.6,0
2015-07-02,18,0
2015-07-03,16.9,0
2015-07-04,17.7,0
2015-07-05,13,0
2015-07-06,11.9,0
2015-07-07,11.5,0
2015-07-08,6.6,0
2015-07-09,2.3,0
2015-07-10,5.6,0
2015-07-11,8.5,0
2015-07-12,8.9,0
2015-07-13,11.2,0
2015-07-14,9.2,0
2015-07-15,12.7,0
2015-07-16,14.4,0
2015-07-17,14.5,0
2015-07-18,14.3,0
2015-07-19,16.6,0
2015-07-20,20,0
2015-07-21,12.6,0
2015-07-22,7.1,0
2015-07-23,6.4,0
2015-07-24,9.3,0
2015-07-25,9.6,0
2015-07-26,10.3,0
2015-07-27,15.8,0
2015-07-28,19.9,0
2015-07-29,22.4,0
2015-07-30,20.2,0
2015-07-31,13,0
2015-08-01,13.2,0
2015-08-02,12.2,0
2015-08-03,9.9,0
2015-08-04,5.7,0
2015-08-05,11.1,0
2015-08-06,11.8,0
2015-08-07,11.5,0
2015-08-08,8.9,0
2015-08-09,11.9,0
2015-08-10,10.8,0
2015-08-11,10,0
2015-08-12,10.7,100
2015-08-13,11.4,0
2015-08-14,11.2,0
2015-08-15,17,0
2015-08-16,19.7,0
2015-08-17,19.9,0
2015-08-18,13.8,0
2015-08-19,10.5,0
2015-08-20,8.2,0
2015-08-21,7.7,0
2015-08-22,8,0
2015-08-23,9.4,0
2015-08-24,12.4,0
2015-08-25,12.6,0
2015-08-26,14.7,0
2015-08-27,18.3,0
2015-08-28,17.9,0
2015-08-29,10.1,0
2015-08-30,9.5,0
2015-08-31,12.6,0
2015-09-01,10.1,0
2015-09-02,6,0
2015-09-03,6,0
2015-09-04,5.8,0
2015-09-05,8.1,0
2015-09-06,11.2,0
2015-09-07,13.4,0
2015-09-08,14.8,0
2015-09-09,18.1,0
2015-09-10,21.3,0
2015-09-11,20.5,0
2015-09-12,13.7,0
2015-09-13,17.2,0
2015-09-14,2.5,0
2015-09-15,3.5,0
2015-09-16,1,0
2015-09-17,5.1,0
2015-09-18,8.7,0
2015-09-19,11.3,0
2015-09-20,13.3,0
2015-09-21,16,0
2015-09-22,5.1,0
2015-09-23,7.6,0
2015-09-24,11.3,0
2015-09-25,13.4,0
2015-09-26,13,0
2015-09-27,10.3,0
2015-09-28,8.1,0
2015-09-29,5.2,0
2015-09-30,0.4,0
2015-10-01,4.7,0
2015-10-02,11.1,3
2015-10-03,5.7,0
2015-10-04,5.6,0
2015-10-05,5.1,0
2015-10-06,6.2,0
2015-10-07,7.7,0
2015-10-08,9.8,0
2015-10-09,10.2,0
2015-10-10,8.6,0
2015-10-11,9.1,0
2015-10-12,10.2,0
2015-10-13,14.2,0
2015-10-14,14,0
2015-10-15,10.7,0
2015-10-16,9.8,0
2015-10-17,3.8,0
2015-10-18,1.6,0
2015-10-19,2.8,0
2015-10-20,8,0
2015-10-21,9.6,0
2015-10-22,5.9,0
2015-10-23,5.2,0
2015-10-24,4.3,1
2015-10-25,4.5,0
2015-10-26,3.4,0
2015-10-27,2.3,0
2015-10-28,2.5,0
2015-10-29,6.6,0
2015-10-30,7.9,0
2015-10-31,5.8,0
2015-11-01,1.8,0
2015-11-02,0,0
2015-11-03,0.4,0
2015-11-04,0,0
2015-11-05,0,1
2015-11-06,0.6,0
2015-11-07,0.3,0
2015-11-08,0,0
2015-11-09,0,0
2015-11-10,0,0
2015-11-11,0,0
2015-11-12,0.2,0
2015-11-13,0.1,0
2015-11-14,0,0
2015-11-15,0,0
2015-11-16,0,0
2015-11-17,0,0
2015-11-18,0.3,0
2015-11-19,0.6,0
2015-11-20,2.6,0
2015-11-21,1.2,0
2015-11-22,0.9,0
2015-11-23,0.1,0
2015-11-24,0,0
2015-11-25,0,0
2015-11-26,0,0
2015-11-27,0,0
2015-11-28,0,0
2015-11-29,0,0
2015-11-30,0,0
2015-12-01,0,0
2015-12-02,0,0
2015-12-03,0,0
2015-12-04,0,0
2015-12-05,0,0
2015-12-06,0,0
2015-12-07,0,0
2015-12-08,0,0
2015-12-09,0,0
2015-12-10,0,0
2015-12-11,0,0
2015-12-12,0,0
2015-12-13,0,0
2015-12-14,0,0
2015-12-15,0,0
2015-12-16,0,0
2015-12-17,0,0
2015-12-18,0,0
2015-12-19,0,0
2015-12-20,0,0
2015-12-21,0,0
2015-12-22,0,0
2015-12-23,0,0
2015-12-24,0,0
2015-12-25,0,0
2015-12-26,0,0
2015-12-27,0,0
2015-12-28,0,0
2015-12-29,0,0
2015-12-30,0,0
2015-12-31,0,0
2016-01-01,0,0
2016-01-02,0,0
2016-01-03,0,0
2016-01-04,0,2
2016-01-05,0,0
2016-01-06,0,0
2016-01-07,0,0
2016-01-08,0,0
2016-01-09,0,0
2016-01-10,0,0
2016-01-11,0,0
2016-01-12,0,0
2016-01-13,0,0
2016-01-14,0,0
2016-01-15,0,0
2016-01-16,0,0
2016-01-17,0,0
2016-01-18,0,0
2016-01-19,0,0
2016-01-20,0,0
2016-01-21,0,0
2016-01-22,0,0
2016-01-23,0,0
2016-01-24,0,0
2016-01-25,0,0
2016-01-26,0,0
2016-01-27,0,0
2016-01-28,0,0
2016-01-29,0,0
2016-01-30,0,0
2016-01-31,0,0
2016-02-01,0,0
2016-02-02,0,0
2016-02-03,0,0
2016-02-04,0,0
2016-02-05,0,0
2016-02-06,0.3,0
2016-02-07,0.8,0
2016-02-08,2.2,0
2016-02-09,1.6,0
2016-02-10,1.4,0
2016-02-11,1,0
2016-02-12,1,0
2016-02-13,2.3,0
2016-02-14,5.3,0
2016-02-15,5.4,0
2016-02-16,2.3,0
2016-02-17,0.5,0
2016-02-18,0,0
2016-02-19,0,0
2016-02-20,0,0
2016-02-21,0.1,0
2016-02-22,1.4,0
2016-02-23,0.8,0
2016-02-24,1.2,0
2016-02-25,1.8,0
2016-02-26,1.3,0
2016-02-27,0.5,0
2016-02-28,0.5,0
2016-02-29,1.8,0
2016-03-01,2,0
2016-03-02,1.3,0
2016-03-03,0,0
2016-03-04,0,0
2016-03-05,0,0
2016-03-06,0,0
2016-03-07,0,0
2016-03-08,0,0
2016-03-09,0,0
2016-03-10,0,0
2016-03-11,0,0
2016-03-12,0,0
2016-03-13,0,0
2016-03-14,0,0
2016-03-15,0.5,0
2016-03-16,2.4,0
2016-03-17,3.1,1
2016-03-18,1.9,0
2016-03-19,1.6,0
2016-03-20,0,0
2016-03-21,0,0
2016-03-22,0,1
2016-03-23,0.7,0
2016-03-24,1.9,0
2016-03-25,2.6,0
2016-03-26,3,0
2016-03-27,1.1,0
2016-03-28,0,0
2016-03-29,0.3,0
2016-03-30,1.2,0
2016-03-31,2,0
2016-04-01,1.5,0
2016-04-02,2.8,0
2016-04-03,2.8,0
2016-04-04,3.5,0
2016-04-05,6.3,0
2016-04-06,8.9,0
2016-04-07,4.1,0
2016-04-08,1.8,0
2016-04-09,0,0
2016-04-10,0,0
2016-04-11,0.7,0
2016-04-12,0.7,0
2016-04-13,1.2,0
2016-04-14,0.2,0
2016-04-15,2.5,0
2016-04-16,6.8,0
2016-04-17,6.4,0
2016-04-18,7.8,0
2016-04-19,7.6,0
2016-04-20,4.9,0
2016-04-21,1.8,0
2016-04-22,0,0
2016-04-23,0.7,0
2016-04-24,1.7,0
2016-04-25,1.6,0
2016-04-26,1.6,0
2016-04-27,0.4,0
2016-04-28,5.5,0
2016-04-29,4.1,0
2016-04-30,6.4,0
2016-05-01,8.3,0
2016-05-02,5.7,0
2016-05-03,6.5,0
2016-05-04,3.8,0
2016-05-05,0,0
2016-05-06,0,0
2016-05-07,0,0
2016-05-08,1.3,0
2016-05-09,3,0
2016-05-10,8.5,0
2016-05-11,7.9,0
2016-05-12,8.2,0
2016-05-13,4.2,0
2016-05-14,3,0
2016-05-15,5.3,0
2016-05-16,10,0
2016-05-17,15.7,0
2016-05-18,14.3,0
2016-05-19,4.9,0
2016-05-20,1,0
2016-05-21,0,0
2016-05-22,1.2,0
2016-05-23,2.1,0
2016-05-24,2.5,0
2016-05-25,4.2,0
2016-05-26,6.3,0
2016-05-27,10.5,0
2016-05-28,13.8,0
2016-05-29,11.6,0
2016-05-30,13.1,0
2016-05-31,16.7,0
2016-06-01,14.2,0
2016-06-02,14.1,0
2016-06-03,18.9,0
2016-06-04,15.3,0
2016-06-05,15.8,0
2016-06-06,12.1,0
2016-06-07,9.1,0
2016-06-08,7.7,0
2016-06-09,7,0
2016-06-10,6.9,0
2016-06-11,12,0
2016-06-12,10.4,0
2016-06-13,5.8,0
2016-06-14,4.5,0
2016-06-15,1.1,0
2016-06-16,4,0
2016-06-17,4,0
2016-06-18,6.8,0
2016-06-19,12.7,0
2016-06-20,14.9,0
2016-06-21,16.4,0
2016-06-22,12.5,0
2016-06-23,11.8,0
2016-06-24,12.2,0
2016-06-25,16.7,0
2016-06-26,19.1,0
2016-06-27,21.5,0
2016-06-28,19.6,0
2016-06-29,13.8,0
2016-06-30,16.5,0
2016-07-01,15.2,0
2016-07-02,10.4,0
2016-07-03,11.8,0
2016-07-04,9.5,0
2016-07-05,6.6,0
2016-07-06,7,0
2016-07-07,6.9,0
2016-07-08,11,0
2016-07-09,7.6,0
2016-07-10,8.2,0
2016-07-11,12,0
2016-07-12,11.6,0
2016-07-13,16.3,0
2016-07-14,18.1,0
2016-07-15,14.6,0
2016-07-16,10.6,0
2016-07-17,5.7,0
2016-07-18,6.7,0
2016-07-19,8.7,0
2016-07-20,11.2,0
2016-07-21,10.2,0
2016-07-22,13.2,0
2016-07-23,17.6,0
2016-07-24,19.4,0
2016-07-25,15.4,0
2016-07-26,19.5,0
2016-07-27,21.7,0
2016-07-28,19.3,0
2016-07-29,20.5,0
2016-07-30,16.5,0
2016-07-31,14.5,0
2016-08-01,10.9,0
2016-08-02,12.8,0
2016-08-03,14.2,0
2016-08-04,5.9,0
2016-08-05,7.3,0
2016-08-06,7.4,0
2016-08-07,9.4,0
2016-08-08,10.6,0
2016-08-09,12.2,0
2016-08-10,11.5,0
2016-08-11,12.3,0
2016-08-12,14.8,0
2016-08-13,17.1,0
2016-08-14,17.1,0
2016-08-15,10.8,0
2016-08-16,14.4,0
2016-08-17,15,0
2016-08-18,14.3,0
2016-08-19,14.1,0
2016-08-20,12,0
2016-08-21,9.9,0
2016-08-22,8.5,0
2016-08-23,8.3,0
2016-08-24,9.3,0
2016-08-25,8.9,0
2016-08-26,6.9,0
2016-08-27,6.3,0
2016-08-28,8.6,0
2016-08-29,8.2,0
2016-08-30,11.2,0
2016-08-31,10.3,0
2016-09-01,7.9,0
2016-09-02,10.2,0
2016-09-03,5.7,0
2016-09-04,5.6,0
2016-09-05,8.9,0
2016-09-06,11.7,0
2016-09-07,15,0
2016-09-08,12.1,0
2016-09-09,12,0
2016-09-10,11,0
2016-09-11,4.5,0
2016-09-12,2,0
2016-09-13,2.9,1
2016-09-14,6.3,0
2016-09-15,7.9,0
2016-09-16,9.4,0
2016-09-17,11.7,0
2016-09-18,14.4,0
2016-09-19,16.1,0
2016-09-20,11.8,0
2016-09-21,4.2,0
2016-09-22,3.8,0
2016-09-23,6.9,0
2016-09-24,11.1,0
2016-09-25,13.1,0
2016-09-26,13.9,0
2016-09-27,14.7,0
2016-09-28,10.3,0
2016-09-29,6.7,0
2016-09-30,2.8,0
2016-10-01,3.5,0
2016-10-02,1.2,0
2016-10-03,0,0
2016-10-04,2.2,0
2016-10-05,4,1
2016-10-06,5.7,0
2016-10-07,7.2,0
2016-10-08,7.9,0
2016-10-09,9.4,0
2016-10-10,6.8,0
2016-10-11,3.2,0
2016-10-12,3,0
2016-10-13,2.9,0
2016-10-14,0,0
2016-10-15,1.1,0
2016-10-16,0,0
2016-10-17,1,0
2016-10-18,2.3,0
2016-10-19,4.2,0
2016-10-20,5.3,0
2016-10-21,5,0
2016-10-22,2.6,0
2016-10-23,2.1,0
2016-10-24,0.4,0
2016-10-25,0.2,0
2016-10-26,2.9,0
2016-10-27,0.1,0
2016-10-28,0,0
2016-10-29,1.5,0
2016-10-30,0,0
2016-10-31,0,0
2016-11-01,0.2,0
2016-11-02,0.7,0
2016-11-03,1.5,0
2016-11-04,2.1,0
2016-11-05,1.5,0
2016-11-06,1.4,0
2016-11-07,2,0
2016-11-08,3,0
2016-11-09,3.7,0
2016-11-10,2.9,0
2016-11-11,2.5,0
2016-11-12,3.2,1
2016-11-13,2.6,0
2016-11-14,2.1,0
2016-11-15,0.1,0
2016-11-16,0,0
2016-11-17,0,0
2016-11-18,0,0
2016-11-19,0,0
2016-11-20,0,0
2016-11-21,0,0
2016-11-22,0,0
2016-11-23,0,0
2016-11-24,0,0
2016-11-25,0,0
2016-11-26,0,0
2016-11-27,0,0
2016-11-28,0,0
2016-11-29,0,0
2016-11-30,0,0
2016-12-01,0,0
2016-12-02,0,0
2016-12-03,0,1
2016-12-04,0,0
2016-12-05,0,0
2016-12-06,0,0
2016-12-07,0,0
2016-12-08,0,0
2016-12-09,0,0
2016-12-10,0,0
2016-12-11,0,0
2016-12-12,0,0
2016-12-13,0,0
2016-12-14,0,0
2016-12-15,0,0
2016-12-16,0,0
2016-12-17,0,0
2016-12-18,0,0
2016-12-19,0,0
2016-12-20,0,0
2016-12-21,0,0
2016-12-22,0,0
2016-12-23,0,0
2016-12-24,0,0
2016-12-25,0,0
2016-12-26,0,0
2016-12-27,0,0
2016-12-28,0,0
2016-12-29,0,0
2016-12-30,0,0
2016-12-31,0,0
2017-01-01,0,0
2017-01-02,0,0
2017-01-03,0,0
2017-01-04,0,0
2017-01-05,0,0
2017-01-06,0,0
2017-01-07,0,0
2017-01-08,0,0
2017-01-09,0,0
2017-01-10,0,0
2017-01-11,0,0
2017-01-12,0,0
2017-01-13,0,0
2017-01-14,0,0
2017-01-15,0,0
2017-01-16,0,0
2017-01-17,0,0
2017-01-18,0,0
2017-01-19,0,0
2017-01-20,0,0
2017-01-21,0,0
2017-01-22,0,0
2017-01-23,0,0
2017-01-24,0,0
2017-01-25,0,0
2017-01-26,0,0
2017-01-27,0,0
2017-01-28,0,0
2017-01-29,0,0
2017-01-30,0,0
2017-01-31,0,1
2017-02-01,0,0
2017-02-02,0,0
2017-02-03,0,0
2017-02-04,0,0
2017-02-05,0,0
2017-02-06,0,0
2017-02-07,0,0
2017-02-08,0,0
2017-02-09,0,0
2017-02-10,0,0
2017-02-11,0,0
2017-02-12,0.2,0
2017-02-13,0,0
2017-02-14,0.4,0
2017-02-15,0,0
2017-02-16,0,0
2017-02-17,0,0
2017-02-18,0,0
2017-02-19,0,0
2017-02-20,0,0
2017-02-21,0,0
2017-02-22,0,0
2017-02-23,0,0
2017-02-24,0,0
2017-02-25,0,0
2017-02-26,0,0
2017-02-27,0,0
2017-02-28,0,0
2017-03-01,0,0
2017-03-02,0.5,0
2017-03-03,0.1,0
2017-03-04,0,0
2017-03-05,0,0
2017-03-06,0,0
2017-03-07,0,2
2017-03-08,0.8,0
